DATA;RECIBO/NF;PLACA;FCK;m3;DESTINO;SAIDA_USINA;INICIO_DESC;FIM_DESC;TEMPO_TOTAL;SLUMP;AGUA_ADD;ADITIVO;VALOR_M3;VALOR_TOTAL;STATUS;OBS
26/02/2026;9185;KVI-3I45;35;8.0;PILAR/CONTENÇÃO;08:20;09:50;11:36;1:30:00;14.0;50.0;-;530.0;4240.0;OK;
26/02/2026;9188;TTN-3D58;35;8.0;PILAR/CONTENÇÃO;08:10;08:10;12:40;0:00:00;15.0;0.0;-;530.0;4240.0;OK;
26/02/2026;9190;LKX-7I43;35;8.0;LAJE/RESERVATÓRIO;12:30;14:05;14:20;1:35:00;16.0;0.0;-;530.0;4240.0;OK;
26/02/2026;9191;EFO-1C62;35;8.0;LAJE/RESERVATÓRIO;13:40;14:50;15:13;1:10:00;16.0;0.0;-;530.0;4240.0;OK;
26/02/2026;9193;TTN-3D58;35;8.0;BLOCO;15:20;16:30;16:50;1:10:00;18.0;0.0;-;530.0;4240.0;OK;ENCHEU 2 BLOCOS
27/02/2026;9196/6213;KVI-3L45;35;8.0;LAJE;06:50;09:40;09:57;2:50:00;8.0;40.0;-;530.0;4240.0;ALERTA (+2h);
27/02/2026;9197/6214;TTN-3D58;35;8.0;LAJE;07:30;10:00;10:14;2:30:00;16.0;0.0;-;530.0;4240.0;ALERTA (+2h);
27/02/2026;9198/6215;EFO-1C62;35;8.0;LAJE;07:50;10:15;10:25;2:25:00;12.0;0.0;-;530.0;4240.0;ALERTA (+2h);
27/02/2026;9195;LKX-7I43;35;8.0;LAJE;09:30;10:50;11:05;1:20:00;20.0;20.0;-;530.0;4240.0;OK;
27/02/2026;9199;KVI-3L45;35;0.0;LAJE;10:40;11:40;11:50;1:00:00;14.0;0.0;-;530.0;0.0;OK;
27/02/2026;9200;TTN-3D58;35;8.0;LAJE;11:10;11:55;12:10;0:45:00;15.0;0.0;-;530.0;4240.0;OK;
27/02/2026;9201;EFO-1C62;35;8.0;LAJE;11:20;12:10;12:25;0:50:00;16.0;0.0;-;530.0;4240.0;OK;
27/02/2026;9202;LKX-7I43;35;8.0;LAJE;12:10;13:05;13:15;0:55:00;11.0;20.0;-;530.0;4240.0;OK;
27/02/2026;9204;KVI-3I45;35;8.0;LAJE;12:35;13:35;13:50;1:00:00;14.0;0.0;-;530.0;4240.0;OK;
27/02/2026;9205;TTN-3D58;35;8.0;LAJE;13:10;13:50;14:00;0:40:00;11.0;20.0;-;530.0;4240.0;OK;
27/02/2026;9206;EFO-1C62;35;8.0;LAJE;14:25;14:35;14:45;0:10:00;12.0;0.0;-;530.0;4240.0;OK;
27/02/2026;9207;LKX-7I43;35;8.0;LAJE;14:10;15:20;15:30;1:10:00;15.0;0.0;-;530.0;4240.0;OK;
27/02/2026;9210;KVI-3I45;35;8.0;LAJE;14:35;14:48;15:55;0:13:00;9.0;40.0;-;530.0;4240.0;OK;
27/02/2026;9212;TTN-3D58;35;8.0;LAJE;15:10;16:00;16:20;0:50:00;16.0;0.0;-;530.0;4240.0;OK;
27/02/2026;9213;EFO-1C62;35;8.0;LAJE;15:30;16:30;16:50;1:00:00;10.0;50.0;-;530.0;4240.0;OK;
27/02/2026;9215;LKX-7I43;35;0.0;LAJE;16:35;17:35;17:50;1:00:00;9.0;50.0;-;530.0;0.0;OK;
26/01/2026;8951;EFO-1C62;35;8.0;BLOCO;08:20;09:15;09:30;0:55:00;16.0;0.0;-;430.0;3440.0;OK;
26/01/2026;8952;KVI-1I45;35;8.0;BLOCO;09:30;10:20;10:40;0:50:00;16.0;0.0;-;530.0;4240.0;OK;
26/01/2026;8953;LPL-7C29;20;8.0;BLOCO;11:40;12:40;12:58;1:00:00;11.0;50.0;-;530.0;4240.0;OK;
26/01/2026;8958;KVI-3I45;20;8.0;BLOCO;13:15;14:30;15:00;1:15:00;15.0;0.0;-;530.0;4240.0;OK;
26/01/2026;8959;DAJ-3H47;20;8.0;LAJE;13:45;14:20;14:50;0:35:00;16.0;0.0;-;500.0;4000.0;OK;USADO NO MAGRO
26/01/2026;8963;EFO-1C62;20;8.0;BLOCO;16:20;17:45;18:10;1:25:00;17.5;0.0;-;530.0;4240.0;OK;
29/01/2026;8990;TTN-3D58;15;8.0;LAJE;13:30;14:00;14:20;0:30:00;15.0;0.0;-;490.0;3920.0;OK;USADO NO MAGRO
29/01/2026;8991;TTK-5J60;15;8.0;LAJE;13:55;14:30;14:55;0:35:00;15.0;0.0;-;490.0;3920.0;OK;USADO NO MAGRO
29/01/2026;8992;EFO-1C62;15;8.0;LAJE;15:00;15:40;16:00;0:40:00;15.0;0.0;-;490.0;3920.0;OK;USADO NO MAGRO
